text,intent,action,target_group,parameter,value_type
добавь 3 новые позиции редуктора,create_items,create,редуктор,quantity,count
у Ротор электродвигателя РЭ-7 увеличь время переналадки на 7 процентов,update_parameter,increase,all,setup_time,percent
подними у всех роботизированные операции цену на 25 процентов,update_parameter,increase,роботизированная операция,cost,percent
повысь у все операции оперативное время на 10,update_parameter,increase,операция,top,absolute
"Шуруповёрт усиленный Ф-420 top 9, Корпус приводной Ф 496 top 60",multi_set_parameter,set_multiple,all,top,absolute
"у Фланец Ф-200 цену 18, у Подшипник приводной КН686 цену 8",multi_set_parameter,set_multiple,all,cost,absolute
поменяй затраты у всех рубанков 3.5,set_parameter,set,all,cost,absolute
подними всё допустимое отклонение на 10 процентов,update_parameter,increase,all,max_deviation,percent
Опора червячный ВП125 объем до 2.0,set_parameter,set,all,quantity,absolute
зафиксируй у всё денежные притоки до 3.0,set_parameter,set,all,inflow,absolute
убавь денежные притоки у всех сборочные операции на 10,update_parameter,decrease,сборка,inflow,absolute
сделай у операция эксплуатационные затраты 3.5,set_parameter,set,операция,operating_costs,absolute
нарасти всех вентиляторов первоначальных инвестиций на 12%,update_parameter,increase,вентилятор,initial_investment,percent
прибавь время обслуживания у всех для всех на 7 процентов,update_parameter,increase,all,service_time,percent
прибавь все операции такт выпуска на 5 процентов,update_parameter,increase,операция,takt,percent
"Корпус промышленный СТ138 такт производства 750, Цилиндр усиленный Z-584 0.9",multi_set_parameter,set_multiple,all,takt,absolute
сократи у всех редуктора время обслуживания на 8%,update_parameter,decrease,редуктор,service_time,percent
Манжета М-22 оперативное время равным 0.8,set_parameter,set,all,top,absolute
понизь цену у дисковых пил в 2 раза,update_parameter,decrease,all,cost,factor
"установи объем: Поршень механический СТ 973 0.7, Редуктор стальной УТ221 20",multi_set_parameter,set_multiple,all,quantity,absolute
"Демпфер стальной МУ-99 объём 40, Манжета приводной РЧ-307 20",multi_set_parameter,set_multiple,all,quantity,absolute
"РЦ-5 такт производства 150, РЦ-1 такт производства 1500",multi_set_parameter,set_multiple,редуктор,takt,absolute
понизь у всех сборку первоначальные инвестиции на 5,update_parameter,decrease,сборка,initial_investment,absolute
"у Компрессор опорный Z 15 поставь переналадку 5, а у Сепаратор промышленный Ф267 1.2",multi_set_parameter,set_multiple,all,setup_time,absolute
убавь для всё оперативное время на 8%,update_parameter,decrease,all,top,percent
нарасти вентилятора дополнительные инвестиции на 5,update_parameter,increase,вентилятор,additional_investment,absolute
сократи вентиляторов to на 0.1,update_parameter,decrease,вентилятор,service_time,absolute
"у Болгарка свинцовый КН-922 объём 20, у Золотник промышленный Ф311 объём 1200",multi_set_parameter,set_multiple,all,quantity,absolute
увеличь для сборки максимальное число станков на 3,update_parameter,increase,сборка,max_machines_per_robot,absolute
"для Ротор свинцовый МУ128 задай оперативное время 11, для Компрессор опорный АРТ-345 5",multi_set_parameter,set_multiple,all,top,absolute
"у РЦ-2 установи стоимость 500, а у РЦ-3 2.5",multi_set_parameter,set_multiple,редуктор,cost,absolute
убавь операция to на 3%,update_parameter,decrease,операция,service_time,percent
зафиксируй у роботизированные операции порог окупаемости до 3.0,set_parameter,set,роботизированная операция,profitability_threshold,absolute
увеличь вентилятор затраты на 0.05,update_parameter,increase,вентилятор,cost,absolute
"установи объём: Цилиндр гидравлический ЦГ-16 750, Манжета промышленный ПП-630 3",multi_set_parameter,set_multiple,all,quantity,absolute
выстави базовый убыток для вентиляторы 5,set_parameter,set,вентилятор,base_loss,absolute
"убавь стоимость , эксплуатационные расходы у всех плазморезов на 20%",update_parameter,decrease,all,cost,percent
"Толкатель свинцовый P/N651 переналадку 2.5, Кронштейн приводной КО 237 переналадку 8, Направляющая электрический АРТ 208 переналадку 6",multi_set_parameter,set_multiple,all,setup_time,absolute
"для Болгарка промышленный P/N-670 kz 20, а для Звёздочка приводная ЗП-18 kz 0.6",multi_set_parameter,set_multiple,all,kz,absolute
"для Кулачок Ф-582 задай объем 1500, для Ротор свинцовый МУ128 0.6",multi_set_parameter,set_multiple,all,quantity,absolute
у Подшипник 6204 сократи затраты на 8%,update_parameter,decrease,all,cost,percent
подними такт производства для вентиляторов на 0.2,update_parameter,increase,вентилятор,takt,absolute
у Вал стальной КН 558 увеличь коэффициент загрузки на 15%,update_parameter,increase,all,kz,percent
подними все операции порог рентабельности на 8%,update_parameter,increase,операция,profitability_threshold,percent
задай ВЦ-1 коэффициент загрузки 60 и ВЦ-4 коэффициент загрузки 2,multi_set_parameter,set_multiple,вентилятор,kz,absolute
"понизь эксплуатационные расходы , приток у всех инверторов на 8%",update_parameter,decrease,all,operating_costs,percent
"Болгарка СТ635 переналадки 3, Золотник торцевой РЧ 148 переналадки 750, Подшипник 6204 переналадки 30",multi_set_parameter,set_multiple,all,setup_time,absolute
измени фонд рабочего времени для всех редукторов до 2.0,set_parameter,set,редуктор,time_fund,absolute
отфильтруй все записи в списке,show_items,show,all,none,none
Толкатель свинцовый P/N651 объем до 2.0,set_parameter,set,all,quantity,absolute
поменяй сборки коэффициент загрузки равным 0.8,set_parameter,set,сборка,kz,absolute
"Кулачок паронитовый ВП171 объем выпуска 18, Клапан сварной Ф297 0.9",multi_set_parameter,set_multiple,all,quantity,absolute
повысь роботизированные звенья ставку дисконтирования на 30 процентов,update_parameter,increase,роботизированная операция,discount_rate,percent
Лебёдка свинцовый В863 такт равным 4,set_parameter,set,all,takt,absolute
у СБ-3 понизь время операции в 2 раза,update_parameter,decrease,all,top,factor
у Крышка торцевой УТ-358 уменьши загрузку на 8%,update_parameter,decrease,all,kz,percent
"у Крышка сварной Z712 поставь переналадка 15, а у Перфоратор стальной КН409 1200",multi_set_parameter,set_multiple,all,setup_time,absolute
"Статор гидравлический МУ-438 оперативное время 5, Шуруповёрт усиленный МУ 843 12",multi_set_parameter,set_multiple,all,top,absolute
"Сепаратор промышленный Ф267 такт 7, Прокладка электрический В644 такт 40, Сепаратор гидравлический СТ359 такт 1200",multi_set_parameter,set_multiple,all,takt,absolute
нарасти первоначальных инвестиций все позиции на 0.05,update_parameter,increase,all,initial_investment,absolute
прибавь денежный приток для роботизированных операций на 15%,update_parameter,increase,роботизированная операция,inflow,percent
Генератор паронитовый РЭ297 время наладки до 3.0,set_parameter,set,all,setup_time,absolute
нарасти всё переналадка на 0.2,update_parameter,increase,all,setup_time,absolute
"Кулачок К-6 переналадку 150, Муфта КО-651 переналадку 1.2, Шпиндель ШП-1 переналадку 0.7",multi_set_parameter,set_multiple,all,setup_time,absolute
у РЦ-5 снизь переналадки в 2 раза,update_parameter,decrease,all,setup_time,factor
сократи максимальное допустимое отклонение у всех роботизированные операции на 5 процентов,update_parameter,decrease,роботизированная операция,max_deviation,percent
подними редукторы базовые потери на 10,update_parameter,increase,редуктор,base_loss,absolute
установи порог окупаемости на 0.25,set_parameter,set,all,profitability_threshold,absolute
у Направляющая механический ВП 572 сократи оперативное время на 1.5,update_parameter,decrease,all,top,absolute
сократи оперативное время лобзиков в 2 раза,update_parameter,decrease,all,top,factor
задай ОП-1 такт производства 1000 и ОП-3 такт производства 500,multi_set_parameter,set_multiple,операция,takt,absolute
повысь ставки дисконтирования у операция на 0.1,update_parameter,increase,операция,discount_rate,absolute
сделай загрузку операции сборки равным 12,set_parameter,set,сборка,kz,absolute
сократи у операций сборки объём инвестиций на 8%,update_parameter,decrease,сборка,initial_investment,percent
убавь максимальное число станков у роботизированную операцию на 5 процентов,update_parameter,decrease,роботизированная операция,max_machines_per_robot,percent
у Крышка свинцовый СТ 15 прибавь kz на 25 процентов,update_parameter,increase,all,kz,percent
эй вентилятор стоит на складе,unknown,none,none,none,none
"Золотник торцевой РЧ 148 top 12, Цилиндр стальной ПП-612 top 250, Редуктор свинцовый МУ518 top 12",multi_set_parameter,set_multiple,all,top,absolute
прибавь затраты для вентиляторов на 7 процентов,update_parameter,increase,вентилятор,cost,percent
подними у все операции риск-потери на 30 процентов,update_parameter,increase,операция,risk_losses,percent
Золотник торцевой РЧ 148 загрузку до 2.0,set_parameter,set,all,kz,absolute
у Корпус приводной Ф 496 нарасти стоимость на 3,update_parameter,increase,all,cost,absolute
"у Домкрат механический Ф-283 переналадку 9, у Редуктор червячный ВП 965 переналадку 0.9",multi_set_parameter,set_multiple,all,setup_time,absolute
уменьши стоимость для редукторы на 12%,update_parameter,decrease,редуктор,cost,percent
убавь всё время обслуживания на 15%,update_parameter,decrease,all,service_time,percent
у Двигатель паронитовый СТ 286 убавь такт производства на 1.5,update_parameter,decrease,all,takt,absolute
"Клапан литой Z-473 время операции 0.6, Кулачок паронитовый ВП171 время операции 0.9, Кронштейн усиленный РЧ957 время операции 0.8",multi_set_parameter,set_multiple,all,top,absolute
увеличь у все позиции начальные инвестиции на 0.2,update_parameter,increase,all,initial_investment,absolute
уменьши такт для всех редукторов на 25 процентов,update_parameter,decrease,редуктор,takt,percent
Корпус электрический Ф 645 kz равным 0.8,set_parameter,set,all,kz,absolute
"Кронштейн опорный КО-2 top 20, Шестерня сварной СТ 253 top 40",multi_set_parameter,set_multiple,all,top,absolute
создай 4 копии СБ-2,copy_items,copy,сборка,none,count
"Перфоратор гидравлический P/N 958 такт 1500, Статор торцевой P/N330 такт 10",multi_set_parameter,set_multiple,all,takt,absolute
снизь все записи первоначальные инвестиции на 5,update_parameter,decrease,all,initial_investment,absolute
создай 5 копии операцию ОП-1,copy_items,copy,операция,none,count
повысь затраты на обслуживание для всех редукторов на 3%,update_parameter,increase,редуктор,maintenance_costs,percent
"у Золотник свинцовый ПП144 время переналадки 0.8, у Корпус насоса КН-3 время переналадки 15",multi_set_parameter,set_multiple,all,setup_time,absolute
у Муфта упругая МУ-5 убавь объем в 4 раза,update_parameter,decrease,all,quantity,factor
выстави потери от рисков у всех вентиляторов равным 0.8,set_parameter,set,вентилятор,risk_losses,absolute
"у Корпус опорный ПП 202 объем выпуска 1.8, у Клапан стальной МУ-277 объем выпуска 500",multi_set_parameter,set_multiple,all,quantity,absolute
задай доп. инвестиции у операций сборки равным 4,set_parameter,set,сборка,additional_investment,absolute
"РЦ-2 коэффициент загрузки 150, РЦ-4 6",multi_set_parameter,set_multiple,редуктор,kz,absolute
Лебёдка усиленный В-600 загрузки до 3.0,set_parameter,set,all,kz,absolute
Сальник стальной АРТ625 цену до 2.0,set_parameter,set,all,cost,absolute
подними стоимости операций втрое,update_parameter,increase,all,cost,factor
"Шуруповёрт усиленный МУ 843 цену 0.9, Болгарка промышленный P/N-670 500",multi_set_parameter,set_multiple,all,cost,absolute
понизь для вентилятор максимальное допустимое отклонение на 15%,update_parameter,decrease,вентилятор,max_deviation,percent
"у Плазморез свинцовый В 791 поставь время переналадки 0.6, а у Болгарка промышленный P/N-670 12",multi_set_parameter,set_multiple,all,setup_time,absolute
"Золотник гидравлический S269 kz 6, Кронштейн свинцовый В-103 2000",multi_set_parameter,set_multiple,all,kz,absolute
"у Пакет пластин P/N 75 такт выпуска 1200, у Плазморез опорный РЭ 968 такт выпуска 20",multi_set_parameter,set_multiple,all,takt,absolute
"добавь еще 3 редукторы, данные возьми от РЦ-5",copy_items,copy,редуктор,none,count
снизь у все позиции станков на робота на 8%,update_parameter,decrease,all,max_machines_per_robot,percent
"у Болгарка СТ635 поставь оперативное время 4.0, а у Манжета торцевой Ф119 3",multi_set_parameter,set_multiple,all,top,absolute
поменяй переналадка для операций 3.5,set_parameter,set,операция,setup_time,absolute
"установи загрузку: Редуктор облегчённый СТ-908 250, Плазморез электрический ПП703 20",multi_set_parameter,set_multiple,all,kz,absolute
зафиксируй у операция сервисное время до 3.0,set_parameter,set,операция,service_time,absolute
"установи объём выпуска: Корпус опорный ПП 202 1500, Перфоратор паронитовый В-86 40",multi_set_parameter,set_multiple,all,quantity,absolute
"для Клапан литой Z-473 задай такт выпуска 15, для Шуруповёрт приводной АРТ 198 150",multi_set_parameter,set_multiple,all,takt,absolute
подними роботизированные операции эксплуатационные расходы на 25 процентов,update_parameter,increase,роботизированная операция,operating_costs,percent
повысь первоначальные инвестиции роботизированную операцию на 15%,update_parameter,increase,роботизированная операция,initial_investment,percent
снизь для все операции время обслуживания на 25 процентов,update_parameter,decrease,операция,service_time,percent
сократи стоимости у всех редукторов на 5,update_parameter,decrease,редуктор,cost,absolute
Звёздочка усиленный Ф 839 переналадку до 3.0,set_parameter,set,all,setup_time,absolute
у Ротор электродвигателя РЭ-7 уменьши количество на 30 процентов,update_parameter,decrease,all,quantity,percent
"понизь количество , загрузки у всех перфораторов на 12%",update_parameter,decrease,all,quantity,percent
"у Домкрат свинцовый ВП 456 загрузку 18, у Золотник КН655 загрузку 0.6",multi_set_parameter,set_multiple,all,kz,absolute
у Демпфер гидравлический УТ182 нарасти коэффициент загрузки на 7 процентов,update_parameter,increase,all,kz,percent
измени для все позиции потери от рисков равным 4,set_parameter,set,all,risk_losses,absolute
"для Болгарка промышленный МУ832 такт 0.6, а для Демпфер приводной АРТ707 такт 750",multi_set_parameter,set_multiple,all,takt,absolute
сократи top и операционные затраты у всех перфораторов на 25 процентов,update_parameter,decrease,all,top,percent
"для Демпфер приводной АРТ707 задай такт 18, для Лебёдка червячный Z315 12",multi_set_parameter,set_multiple,all,takt,absolute
понизь top у роботизированных операций на 25 процентов,update_parameter,decrease,роботизированная операция,top,percent
"для Золотник гидравлический S269 коэффициент загрузки 0.6, а для Направляющая В102 коэффициент загрузки 0.8",multi_set_parameter,set_multiple,all,kz,absolute
уменьши оперативное время у всех фрезеров на 10,update_parameter,decrease,all,top,absolute
понизь риск-потери на 0.1,update_parameter,decrease,all,risk_losses,absolute
измени затраты на обслуживание у операции 3.5,set_parameter,set,операция,maintenance_costs,absolute
задай объём выпуска у редукторов до 2.0,set_parameter,set,редуктор,quantity,absolute
подними базовые потери у всех роботизированных операций на 2,update_parameter,increase,роботизированная операция,base_loss,absolute
"Кулачок паронитовый P/N 934 время операции 2000, Домкрат червячный P/N756 время операции 1500",multi_set_parameter,set_multiple,all,top,absolute
понизь затраты на обслуживание на 30 процентов,update_parameter,decrease,all,maintenance_costs,percent
"Шуруповёрт червячный РЭ 297 такт производства 250, Кронштейн сварной СТ 780 8",multi_set_parameter,set_multiple,all,takt,absolute
задай сборки выручку до 2.0,set_parameter,set,сборка,inflow,absolute
сделай для вентиляторы расходы на обслуживание 5,set_parameter,set,вентилятор,maintenance_costs,absolute
у Шуруповёрт усиленный МУ 843 снизь переналадка на 1.5,update_parameter,decrease,all,setup_time,absolute
прибавь станков на робота операций сборки на 30 процентов,update_parameter,increase,сборка,max_machines_per_robot,percent
повысь вентиляторов такт выпуска на 0.1,update_parameter,increase,вентилятор,takt,absolute
прибавь всех вентиляторов такт производства на 3,update_parameter,increase,вентилятор,takt,absolute
снизь доступный фонд времени у всех вентиляторов на 25 процентов,update_parameter,decrease,вентилятор,time_fund,percent
понизь всех операций эксплуатационные расходы на 7 процентов,update_parameter,decrease,операция,operating_costs,percent
понизь операция ставки дисконтирования на 30 процентов,update_parameter,decrease,операция,discount_rate,percent
измени всё станков на робота равным 12,set_parameter,set,all,max_machines_per_robot,absolute
"Сепаратор СП-7 цену 3, Поршень П-90 цену 30, Редуктор упругий Z 808 цену 18",multi_set_parameter,set_multiple,all,cost,absolute
сделай база потерь на 5,set_parameter,set,all,base_loss,absolute
зафиксируй для вентилятор такт выпуска 3.5,set_parameter,set,вентилятор,takt,absolute
измени потери по рискам у редуктора 3.5,set_parameter,set,редуктор,risk_losses,absolute
уменьши всех операций ставка дисконтирования на 7 процентов,update_parameter,decrease,операция,discount_rate,percent
задай максимальное отклонение вентиляторы 2.5,set_parameter,set,вентилятор,max_deviation,absolute
сделай четыре копии ВЦ-2,copy_items,copy,вентилятор,none,count
снизь максимальное допустимое отклонение у всех всех позиций на 0.2,update_parameter,decrease,all,max_deviation,absolute
Крышка усиленный В 605 время операции 5,set_parameter,set,all,top,absolute
"для Генератор литой Z175 оперативное время 100, а для Редуктор упругий Z 808 оперативное время 250",multi_set_parameter,set_multiple,all,top,absolute
понизь операции доп. инвестиции на 3%,update_parameter,decrease,операция,additional_investment,percent
выстави роботизированные звенья базовый убыток равным 4,set_parameter,set,роботизированная операция,base_loss,absolute
задай потери от рисков у роботизированные звенья равным 0.8,set_parameter,set,роботизированная операция,risk_losses,absolute
"для Звёздочка приводная ЗП-18 задай затраты 1000, для Муфта усиленный СТ 927 9",multi_set_parameter,set_multiple,all,cost,absolute
прибавь у операции сборки переналадку на 5 процентов,update_parameter,increase,сборка,setup_time,percent
сократи операций сборки загрузки на 10 процентов,update_parameter,decrease,сборка,kz,percent
нарасти вентилятора время обслуживания на 0.05,update_parameter,increase,вентилятор,service_time,absolute
"для Демпфер литой ВП-49 kz 1.2, а для Демпфер опорный ПП 649 kz 1000",multi_set_parameter,set_multiple,all,kz,absolute
"Ротор электродвигателя РЭ-7 оперативное время 10, Статор СТ-9 оперативное время 1.2, Кронштейн свинцовый В-103 оперативное время 1200",multi_set_parameter,set_multiple,all,top,absolute
выстави количество у всех мотопомп равным 12,set_parameter,set,all,quantity,absolute
поменяй top равным 4,set_parameter,set,all,top,absolute
"для ОП-4 задай стоимость 0.8, для ОП-3 1000",multi_set_parameter,set_multiple,операция,cost,absolute
сделай начальные инвестиции равным 5,set_parameter,set,all,initial_investment,absolute
"Сепаратор опорный АРТ-915 цену 0.9, Перфоратор паронитовый В-86 0.75",multi_set_parameter,set_multiple,all,cost,absolute
увеличь приток для редуктора на 1.5,update_parameter,increase,редуктор,inflow,absolute
прибавь для всех вентиляторов база потерь на 0.2,update_parameter,increase,вентилятор,base_loss,absolute
снизь притоки на 0.2,update_parameter,decrease,all,inflow,absolute
"Цилиндр стальной ПП-612 время операции 0.6, Насос облегчённый РЭ 643 время операции 3, Перфоратор механический ВП 854 время операции 150",multi_set_parameter,set_multiple,all,top,absolute
слушай расскажи анекдот,unknown,none,none,none,none
нарасти всех редукторов эксплуатационные расходы на 1.5,update_parameter,increase,редуктор,operating_costs,absolute
"Цилиндр гидравлический ЦГ-16 коэффициент загрузки 2.5, Домкрат паронитовый Z555 коэффициент загрузки 1.2",multi_set_parameter,set_multiple,all,kz,absolute
повысь время переналадки и выручку у всех сварочных аппаратов на 30 процентов,update_parameter,increase,all,setup_time,percent
"у Цилиндр гидравлический ЦГ-16 поставь время операции 750, а у Вал приводной РЧ-798 0.9",multi_set_parameter,set_multiple,all,top,absolute
у Редуктор свинцовый Ф-897 повысь kz на 0.05,update_parameter,increase,all,kz,absolute
"для Статор СТ-9 объем 20, а для Ротор свинцовый МУ128 объем 1.2",multi_set_parameter,set_multiple,all,quantity,absolute
"Цилиндр гидравлический ЦГ-16 объем выпуска 40, Кронштейн усиленный РЧ957 объем выпуска 60",multi_set_parameter,set_multiple,all,quantity,absolute
сделай у у всех kz 5,set_parameter,set,all,kz,absolute
подними такт для роботизированные звенья на 0.2,update_parameter,increase,роботизированная операция,takt,absolute
"для Генератор стальной КН343 задай стоимость 5, для Золотник КН655 750",multi_set_parameter,set_multiple,all,cost,absolute
задай затраты у всех тисков до 3.0,set_parameter,set,all,cost,absolute
установи для сборки притоки до 3.0,set_parameter,set,сборка,inflow,absolute
нарасти у операций сборки фонд рабочего времени на 10,update_parameter,increase,сборка,time_fund,absolute
"у Домкрат торцевой РЧ 332 стоимость 25, у Болгарка промышленный P/N-670 стоимость 6",multi_set_parameter,set_multiple,all,cost,absolute
у Муфта КО-651 подними время переналадки на 0.2,update_parameter,increase,all,setup_time,absolute
убавь время операции у всех редукторам на 2,update_parameter,decrease,редуктор,top,absolute
понизь для сборки доп инвестиции на 12%,update_parameter,decrease,сборка,additional_investment,percent
"для Редуктор электрический РЧ 499 задай такт производства 12, для Болгарка паронитовый СТ 116 1000",multi_set_parameter,set_multiple,all,takt,absolute
"для Шестерня электрический РЭ 693 задай такт производства 500, для Клапан стальной УТ 401 7",multi_set_parameter,set_multiple,all,takt,absolute
"для Крышка корпуса АКБ переналадку 4.0, а для Фланец торцевой ВП 365 переналадку 25",multi_set_parameter,set_multiple,all,setup_time,absolute
слушай спасибо за помощь,unknown,none,none,none,none
"для Золотник усиленный РЭ 44 задай стоимости 500, для Кронштейн Ф-690 1500",multi_set_parameter,set_multiple,all,cost,absolute
увеличь дополнительные инвестиции у всех на 8%,update_parameter,increase,all,additional_investment,percent
повысь все записи база потерь на 3%,update_parameter,increase,all,base_loss,percent
"Подшипник приводной МУ-147 коэффициент загрузки 11, Перфоратор механический ВП 854 150",multi_set_parameter,set_multiple,all,kz,absolute
уменьши число станков на робота у всех роботизированных операций на 3,update_parameter,decrease,роботизированная операция,max_machines_per_robot,absolute
"для Крышка корпуса АКБ затраты 0.8, а для Кронштейн промышленный В922 затраты 250",multi_set_parameter,set_multiple,all,cost,absolute
"Манжета литой ВП250 время переналадки 100, Вал стальной КН 558 время переналадки 9",multi_set_parameter,set_multiple,all,setup_time,absolute
снизь вентиляторы коэффициент загрузки на 8%,update_parameter,decrease,вентилятор,kz,percent
"у Ротор упругий Ф 137 стоимость 12, у Демпфер литой ВП-49 стоимость 40",multi_set_parameter,set_multiple,all,cost,absolute
у Золотник усиленный КО852 нарасти стоимость на 15%,update_parameter,increase,all,cost,percent
"Сальник С-30 время переналадки 2000, Вал Ф-536 время переналадки 2000",multi_set_parameter,set_multiple,all,setup_time,absolute
сделай для редукторы объём до 3.0,set_parameter,set,редуктор,quantity,absolute
уменьши редукторов эксплуатационные затраты на 0.2,update_parameter,decrease,редуктор,operating_costs,absolute
"у Генератор червячный КО-200 поставь время наладки 1.8, а у Поршень механический СТ 973 2000",multi_set_parameter,set_multiple,all,setup_time,absolute
измени переналадку у все записи равным 0.8,set_parameter,set,all,setup_time,absolute
"установи оперативное время: Клемма свинцовая КС-1 1500, Генератор паронитовый Ф 72 5",multi_set_parameter,set_multiple,all,top,absolute
убавь доступный фонд времени у сборочные операции на 20%,update_parameter,decrease,сборка,time_fund,percent
прибавь вентилятора объём инвестиций на 7 процентов,update_parameter,increase,вентилятор,initial_investment,percent
задай СБ-1 время переналадки 40 и СБ-3 время переналадки 0.9,multi_set_parameter,set_multiple,сборка,setup_time,absolute
"установи загрузки: Ротор свинцовый МУ128 12, Домкрат паронитовый Z555 0.8",multi_set_parameter,set_multiple,all,kz,absolute
прибавь у операций такт выпуска на 0.2,update_parameter,increase,операция,takt,absolute
зафиксируй оперативное время до 3.0,set_parameter,set,all,top,absolute
"у Статор В-993 поставь загрузку 3, а у Кронштейн свинцовый РЭ-381 10",multi_set_parameter,set_multiple,all,kz,absolute
"для СБ-1 поставь оперативное время 15, для СБ-2 0.7",multi_set_parameter,set_multiple,сборка,top,absolute
задай ВЦ-4 такт производства 1.8 и ВЦ-1 такт производства 0.75,multi_set_parameter,set_multiple,вентилятор,takt,absolute
"Фланец червячный МУ278 стоимость 1000, Двигатель гидравлический РЧ 649 стоимость 150, Вал сварной РЧ 985 стоимость 40",multi_set_parameter,set_multiple,all,cost,absolute
продублируй ОП-1 два раза,copy_items,copy,операция,none,count
понизь объем выпуска у сабельных пил вдвое,update_parameter,decrease,all,quantity,factor
убавь дополнительные инвестиции всех вентиляторов на 30 процентов,update_parameter,decrease,вентилятор,additional_investment,percent
нарасти top сборку на 12%,update_parameter,increase,сборка,top,percent
снизь у всех сборочные операции такт на 15%,update_parameter,decrease,сборка,takt,percent
показать все позиции в списке,show_items,show,all,none,none
выстави число станков на робота роботизированную операцию 5,set_parameter,set,роботизированная операция,max_machines_per_robot,absolute
"Редуктор червячный РЧ-40 такт 3, Перфоратор механический РЭ 948 такт 2",multi_set_parameter,set_multiple,all,takt,absolute
нарасти базовый убыток для для всех на 20%,update_parameter,increase,all,base_loss,percent
у РЦ-4 повысь объём выпуска вдвое,update_parameter,increase,all,quantity,factor
подними у всех операций притоки на 25 процентов,update_parameter,increase,операция,inflow,percent
сделай максимум станков на 4,set_parameter,set,all,max_machines_per_robot,absolute
сформируй 2 копии редуктор РЦ-3,copy_items,copy,редуктор,none,count
повысь стоимость у всех сварочных полуавтоматов на 8%,update_parameter,increase,all,cost,percent
"установи цену: Втулка свинцовый УТ-916 0.75, Манжета М-22 0.9",multi_set_parameter,set_multiple,all,cost,absolute
"Муфта усиленный СТ 927 время наладки 100, Манжета приводной РЧ-307 время наладки 2000",multi_set_parameter,set_multiple,all,setup_time,absolute
Крышка сварной Z712 цену 2.5,set_parameter,set,all,cost,absolute
добавь 3 новых вентилятора на базе ВЦ-1,copy_items,copy,вентилятор,none,count
"Компрессор облегчённый КС-840 стоимость 3.5, Вал Ф-536 9",multi_set_parameter,set_multiple,all,cost,absolute
снизь доп инвестиции редуктор на 7 процентов,update_parameter,decrease,редуктор,additional_investment,percent
"установи переналадки: Кронштейн КО 771 2000, Шестерня приводной В774 15",multi_set_parameter,set_multiple,all,setup_time,absolute
нарасти порог окупаемости у всех вентиляторы на 15%,update_parameter,increase,вентилятор,profitability_threshold,percent
"для РЦ-2 поставь количество 500, для РЦ-5 8",multi_set_parameter,set_multiple,редуктор,quantity,absolute
"ВЦ-3 оперативное время 3, ВЦ-4 500",multi_set_parameter,set_multiple,вентилятор,top,absolute
"у Демпфер ДМ-3 время операции 750, у Манжета литой ВП877 время операции 1.2",multi_set_parameter,set_multiple,all,top,absolute
нарасти у вентиляторов цену на 0.1,update_parameter,increase,вентилятор,cost,absolute
"установи kz: Поршень Z 784 20, Генератор паронитовый РЭ297 30",multi_set_parameter,set_multiple,all,kz,absolute
подними всех операций to на 3%,update_parameter,increase,операция,service_time,percent
"у Кулачок сварной Ф105 такт выпуска 0.75, у Демпфер свинцовый КО-701 такт выпуска 8",multi_set_parameter,set_multiple,all,takt,absolute
увеличь всех операций стоимость на 8%,update_parameter,increase,операция,cost,percent
у Редуктор свинцовый Ф-897 уменьши цену на 8%,update_parameter,decrease,all,cost,percent
подними вентилятор доп. инвестиции на 2,update_parameter,increase,вентилятор,additional_investment,absolute
сократи редукторы доп. инвестиции на 10,update_parameter,decrease,редуктор,additional_investment,absolute
"для Кронштейн литой РЧ 305 задай время переналадки 0.75, для Генератор опорный S334 1.2",multi_set_parameter,set_multiple,all,setup_time,absolute
"Золотник гидравлический КН 834 стоимости 2000, Звёздочка усиленный Ф 839 стоимости 3",multi_set_parameter,set_multiple,all,cost,absolute
понизь робот. операции дополнительные инвестиции на 8%,update_parameter,decrease,роботизированная операция,additional_investment,percent
прибавь редукторам затраты на обслуживание на 1.5,update_parameter,increase,редуктор,maintenance_costs,absolute
нарасти стоимости у всех рубанков на 5 процентов,update_parameter,increase,all,cost,percent
"установи объем выпуска: Лебёдка промышленный РЧ 763 18, Компрессор опорный Z 15 1500",multi_set_parameter,set_multiple,all,quantity,absolute
сократи максимальное число станков у сборочные операции на 0.2,update_parameter,decrease,сборка,max_machines_per_robot,absolute
нарасти время операции у тепловых пушек вчетверо,update_parameter,increase,all,top,factor
"у Кронштейн промышленный В922 поставь kz 0.6, а у Муфта упругий СТ342 100",multi_set_parameter,set_multiple,all,kz,absolute
Лебёдка опорный АРТ 637 время переналадки 2.5,set_parameter,set,all,setup_time,absolute
создай 5 копий операции ОП-1,copy_items,copy,операция,none,count
нарасти риск-потери у роботизированную операцию на 8%,update_parameter,increase,роботизированная операция,risk_losses,percent
добавь 5 новых операции на базе ОП-3,copy_items,copy,операция,none,count
слушай какая сегодня погода,unknown,none,none,none,none
прибавь всех редукторов выручку на 12%,update_parameter,increase,редуктор,inflow,percent
"Кронштейн литой УТ818 загрузку 40, Лебёдка свинцовый В863 загрузку 60, Перфоратор механический ВП 854 загрузку 9",multi_set_parameter,set_multiple,all,kz,absolute
сократи количество и стоимости у всех позиций на 30 процентов,update_parameter,decrease,all,quantity,percent
задай объём инвестиций на 0.25,set_parameter,set,all,initial_investment,absolute
